Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
14.11,0.08189312977099236,-0.0867175572519084,-0.07392366412213741,0.143798828125,0.628662109375,0.386474609375
14.115,0.08555725190839696,-0.08009160305343511,-0.07129770992366412,0.143310546875,0.665283203125,0.39208984375
14.12,0.09187786259541984,-0.07209160305343511,-0.07483969465648854,0.145751953125,0.69091796875,0.386962890625
14.125,0.09963358778625954,-0.0625648854961832,-0.08427480916030534,0.129638671875,0.699462890625,0.39990234375
14.13,0.10393893129770992,-0.05001526717557252,-0.09221374045801527,0.127685546875,0.72314453125,0.3984375
14.135,0.10766412213740457,-0.036274809160305344,-0.09477862595419848,0.136962890625,0.74169921875,0.41162109375
14.14,0.10964885496183206,-0.024671755725190838,-0.08995419847328244,0.153564453125,0.75390625,0.431884765625
14.145,0.11349618320610687,-0.014290076335877862,-0.08702290076335878,0.166259765625,0.765625,0.4296875
14.15,0.11618320610687023,-0.0017709923664122138,-0.08613740458015268,0.162841796875,0.77880859375,0.43701171875
14.155,0.11987786259541984,0.009893129770992368,-0.08415267175572519,0.172119140625,0.796875,0.44189453125
14.16,0.12201526717557251,0.019053435114503817,-0.08174045801526718,0.158447265625,0.814453125,0.451171875
14.165,0.12314503816793894,0.03230534351145038,-0.083206106870229,0.1572265625,0.8271484375,0.4501953125
14.17,0.12595419847328246,0.03969465648854962,-0.08570992366412214,0.14208984375,0.84423828125,0.455810546875
14.175,0.12821374045801529,0.042381679389312976,-0.08415267175572519,0.134033203125,0.871337890625,0.459228515625
14.18,0.12916030534351144,0.04403053435114503,-0.0829618320610687,0.135986328125,0.8828125,0.464599609375
14.185,0.12964885496183207,0.045740458015267174,-0.08381679389312977,0.121337890625,0.91259765625,0.4599609375
14.19,0.13120610687022902,0.043786259541984736,-0.08323664122137404,0.134033203125,0.942138671875,0.474609375
14.195,0.12940458015267178,0.03905343511450382,-0.08119083969465649,0.135986328125,0.977294921875,0.473876953125
14.2,0.12705343511450382,0.03545038167938932,-0.07920610687022901,0.14794921875,1.013916015625,0.4775390625
14.205,0.12329770992366411,0.03267175572519084,-0.0785648854961832,0.13525390625,1.042724609375,0.490234375
14.21,0.1195114503816794,0.02949618320610687,-0.07731297709923665,0.135498046875,1.068359375,0.491943359375
14.215,0.11331297709923664,0.025862595419847326,-0.07462595419847327,0.139404296875,1.103515625,0.4912109375
14.22,0.1048854961832061,0.019328244274809163,-0.06760305343511451,0.14404296875,1.130126953125,0.49560546875
14.225,0.09658015267175572,0.010900763358778626,-0.05841221374045801,0.15283203125,1.14404296875,0.494873046875
14.23,0.08839694656488549,0.0006106870229007634,-0.04980152671755725,0.136474609375,1.15185546875,0.49560546875
14.235,0.07819847328244275,-0.0077251908396946565,-0.043541984732824425,0.122802734375,1.139404296875,0.49609375
14.24,0.06705343511450382,-0.01929770992366412,-0.037099236641221375,0.11376953125,1.12890625,0.492431640625
14.245,0.055297709923664125,-0.03425954198473283,-0.02711450381679389,0.119873046875,1.11962890625,0.498291015625
14.25,0.0456793893129771,-0.049496183206106874,-0.01450381679389313,0.12255859375,1.122802734375,0.496826171875
14.255,0.03694656488549618,-0.06170992366412214,-0.0027786259541984736,0.12646484375,1.13037109375,0.4873046875
14.26,0.028305343511450382,-0.07282442748091603,0.008183206106870228,0.15087890625,1.176513671875,0.492431640625
14.265,0.020091603053435114,-0.07890076335877863,0.01780152671755725,0.163818359375,1.240234375,0.50439453125
14.27,0.013068702290076336,-0.08030534351145038,0.024641221374045803,0.192626953125,1.33349609375,0.51806640625
14.275,0.0037251908396946564,-0.07682442748091603,0.028885496183206107,0.2099609375,1.42626953125,0.544677734375
14.28,-0.005893129770992366,-0.06531297709923664,0.030167938931297707,0.235107421875,1.527099609375,0.559814453125
14.285,-0.016854961832061068,-0.04937404580152672,0.03154198473282443,0.24658203125,1.59130859375,0.57421875
14.29,-0.03065648854961832,-0.030564885496183206,0.03517557251908397,0.260498046875,1.62939453125,0.57373046875
14.295,-0.046045801526717556,-0.009404580152671755,0.038198473282442746,0.26904296875,1.6259765625,0.583984375
14.3,-0.06054961832061068,0.009404580152671755,0.04033587786259542,0.261474609375,1.590576171875,0.595947265625
14.305,-0.07752671755725192,0.02952671755725191,0.043786259541984736,0.25390625,1.5576171875,0.590576171875
14.31,-0.09508396946564884,0.04534351145038168,0.052580152671755725,0.24462890625,1.51513671875,0.573486328125
14.315,-0.11480916030534351,0.05444274809160305,0.06320610687022901,0.240234375,1.472900390625,0.579833984375
14.32,-0.13633587786259543,0.05841221374045801,0.07902290076335877,0.2353515625,1.4208984375,0.56103515625
14.325,-0.15664122137404582,0.05743511450381679,0.09786259541984732,0.239501953125,1.38232421875,0.536376953125
14.33,-0.1775267175572519,0.053984732824427485,0.11850381679389313,0.23388671875,1.3564453125,0.502685546875
14.335,-0.19829007633587786,0.04827480916030535,0.1414351145038168,0.2236328125,1.35302734375,0.47900390625
14.34,-0.21945038167938932,0.04363358778625954,0.16155725190839695,0.2001953125,1.34716796875,0.459228515625
14.345,-0.24076335877862595,0.03887022900763359,0.1780763358778626,0.18896484375,1.354736328125,0.446533203125
14.35,-0.26183206106870227,0.035694656488549616,0.19306870229007633,0.17578125,1.37060546875,0.435302734375
14.355,-0.2825954198473282,0.03517557251908397,0.20693129770992366,0.1640625,1.393310546875,0.439208984375
14.36,-0.30174045801526717,0.03529770992366412,0.21853435114503816,0.162353515625,1.40283203125,0.4404296875
14.365,-0.32048854961832063,0.035847328244274806,0.2284885496183206,0.16943359375,1.408935546875,0.434814453125
14.37,-0.3373435114503817,0.037251908396946566,0.23636641221374047,0.163330078125,1.409912109375,0.4404296875
14.375,-0.35224427480916026,0.03847328244274809,0.2437862595419847,0.15576171875,1.402099609375,0.429931640625
14.38,-0.36632061068702293,0.037251908396946566,0.2501679389312977,0.148681640625,1.400390625,0.429931640625
14.385,-0.3770381679389313,0.03429007633587786,0.2548091603053435,0.13623046875,1.394287109375,0.410888671875
14.39,-0.3862290076335878,0.02980152671755725,0.2581984732824428,0.132080078125,1.3818359375,0.397705078125
14.395,-0.3950534351145038,0.02387786259541985,0.2613435114503817,0.143798828125,1.378173828125,0.385986328125
14.4,-0.4037557251908397,0.017740458015267177,0.26555725190839696,0.146728515625,1.363525390625,0.375
14.405,-0.4123358778625954,0.01117557251908397,0.2716641221374046,0.149658203125,1.345947265625,0.362548828125
14.41,-0.42201526717557253,0.005709923664122138,0.27746564885496183,0.152587890625,1.323974609375,0.35595703125
14.415,-0.4291297709923664,0.001068702290076336,0.28372519083969466,0.15576171875,1.290283203125,0.328369140625
14.42,-0.43016793893129773,-0.003114503816793893,0.29099236641221377,0.155029296875,1.25390625,0.312744140625
14.425,-0.441618320610687,-0.005801526717557252,0.29871755725190835,0.154052734375,1.215576171875,0.29638671875
14.43,-0.4447022900763359,-0.008610687022900763,0.30558778625954197,0.14453125,1.180419921875,0.283935546875
14.435,-0.4514809160305343,-0.009526717557251908,0.3124885496183206,0.13427734375,1.146240234375,0.274658203125
14.44,-0.45716030534351143,-0.012091603053435115,0.31978625954198475,0.12646484375,1.108642578125,0.2607421875
14.445,-0.46262595419847324,-0.015236641221374045,0.3268396946564886,0.115234375,1.08642578125,0.246337890625
14.45,-0.46827480916030534,-0.019603053435114502,0.33615267175572516,0.099609375,1.0546875,0.251220703125
14.455,-0.4732824427480916,-0.02552671755725191,0.3430534351145038,0.087646484375,1.02392578125,0.235107421875
14.46,-0.4786870229007633,-0.031511450381679386,0.3500458015267176,0.080078125,0.99072265625,0.23193359375
14.465,-0.482381679389313,-0.0372824427480916,0.3576488549618321,0.07470703125,0.96337890625,0.23193359375
14.47,-0.4866870229007633,-0.04500763358778626,0.3648854961832061,0.071533203125,0.936279296875,0.224365234375
14.475,-0.4889160305343511,-0.050900763358778627,0.3746564885496183,0.073486328125,0.89794921875,0.2236328125
14.48,-0.49151145038167937,-0.05615267175572519,0.3826259541984733,0.07568359375,0.869873046875,0.2080078125
14.485,-0.492793893129771,-0.057404580152671754,0.38909923664122137,0.088623046875,0.84375,0.1962890625
14.49,-0.4932213740458016,-0.058137404580152666,0.39563358778625957,0.08935546875,0.816650390625,0.193603515625
14.495,-0.49242748091603056,-0.05438167938931298,0.40268702290076336,0.103271484375,0.794189453125,0.17822265625
14.5,-0.4918473282442748,-0.0467175572519084,0.4080916030534351,0.115966796875,0.774169921875,0.17626953125
14.505,-0.4902290076335878,-0.0357557251908397,0.4125496183206107,0.120849609375,0.752197265625,0.15625
14.51,-0.4881832061068702,-0.022931297709923665,0.41685496183206106,0.1298828125,0.723876953125,0.16162109375
14.515,-0.486381679389313,-0.004793893129770993,0.42131297709923665,0.140625,0.710693359375,0.146728515625
14.52,-0.48442748091603055,0.014809160305343511,0.4245190839694657,0.148681640625,0.694091796875,0.147216796875
14.525,-0.48085496183206106,0.036580152671755725,0.42635114503816796,0.1611328125,0.67822265625,0.141845703125
14.53,-0.4774351145038168,0.06061068702290076,0.4282748091603053,0.1611328125,0.667236328125,0.12841796875
14.535,-0.4740458015267176,0.08403053435114503,0.42851908396946564,0.1650390625,0.6591796875,0.130126953125
14.54,-0.47062595419847325,0.10845801526717556,0.4283358778625954,0.165283203125,0.65185546875,0.115966796875
14.545,-0.4671145038167939,0.13496183206106868,0.42616793893129773,0.160400390625,0.642822265625,0.12353515625
14.55,-0.46415267175572517,0.15883969465648853,0.4234503816793893,0.152587890625,0.6328125,0.123291015625
14.555,-0.46076335877862595,0.18076335877862595,0.41969465648854964,0.145263671875,0.633056640625,0.12939453125
14.56,-0.45844274809160307,0.20024427480916032,0.4149007633587786,0.135986328125,0.625732421875,0.127197265625
14.565,-0.4548396946564886,0.21645801526717556,0.4081832061068702,0.12548828125,0.62109375,0.1240234375
14.57,-0.45016793893129775,0.2301679389312977,0.4014045801526718,0.107666015625,0.603759765625,0.12158203125
